timestamp,alpha,beta,gamma,acc,heading
1698411887.012,28.496523953225626,90.35635695631916,5.323332845732111,11.7371826171875,151.053466796875
1698411887.029,28.7525298229129,90.3554272284666,5.068607945146056,11.7371826171875,151.053466796875
1698411887.045,28.868823632551738,90.35617799029963,4.952461356025454,11.7371826171875,151.053466796875
1698411887.062,28.527197727050552,90.35727481501247,5.291322370708833,11.7371826171875,151.053466796875
1698411887.079,27.98453624013111,90.36157713973691,5.832679877719186,11.7371826171875,151.053466796875
1698411887.096,27.513244600133724,90.36861636465561,6.3041111836527515,11.7371826171875,151.053466796875
1698411887.113,27.628410382545734,90.37577151971827,6.185316540670589,11.7371826171875,151.053466796875
1698411887.13,28.016265161545935,90.3810443575718,5.796064102945508,11.7371826171875,151.053466796875
1698411887.146,28.309767151433732,90.38284473712197,5.499972364290669,11.7371826171875,151.053466796875
1698411887.163,28.352648930147655,90.38629721412165,5.4546652888934934,11.7371826171875,151.053466796875
1698411887.18,28.458489152598816,90.38846745808857,5.347453025301552,11.7371826171875,151.053466796875
1698411887.196,28.603776843989756,90.38659662865479,5.20078784296477,11.7371826171875,151.053466796875
1698411887.213,28.97208606874226,90.38727667479348,4.8312000888478766,11.7371826171875,151.053466796875
1698411887.229,29.251861469971963,90.39191576781013,4.55161795866428,11.7371826171875,151.053466796875
1698411887.246,29.403335474056117,90.39829342247782,4.399798733384109,11.7371826171875,151.053466796875
1698411887.262,29.24705238428984,90.402756222257,4.555335968689866,11.7371826171875,151.053466796875
1698411887.279,29.158887095364022,90.40666483951772,4.643056372640118,11.7371826171875,151.053466796875
1698411887.296,29.078228764155636,90.41086917436436,4.724178636955691,11.7371826171875,151.053466796875
1698411887.312,29.112060701974734,90.41674994840973,4.6910643607503975,11.7371826171875,151.053466796875
1698411887.328,29.082620226317516,90.42140319025687,4.720957316362585,11.7371826171875,151.053466796875
1698411887.346,29.063977717200302,90.4228295304845,4.738151890839712,11.7371826171875,151.053466796875
1698411887.362,29.20340271935614,90.42234916735815,4.597460854328215,11.7371826171875,151.053466796875
1698411887.379,29.16520802146216,90.42018704268934,4.637024738883983,11.7371826171875,151.053466796875
1698411887.396,28.918786979512724,90.41965484819973,4.883920239337999,11.7371826171875,151.053466796875
1698411887.412,28.542691564016657,90.42463012837058,5.262436335905987,11.7371826171875,151.053466796875
1698411887.429,28.481034137490628,90.42499206621005,5.3268592546328195,11.7371826171875,151.053466796875
1698411887.446,28.29578722372399,90.42653126170069,5.517880068011819,11.7371826171875,151.053466796875
1698411887.462,27.9068762519932,90.42808196592209,5.911957362747628,11.7371826171875,151.053466796875
1698411887.479,27.545116193940757,90.43060911337912,6.277732144810005,11.7371826171875,151.053466796875
1698411887.496,27.414271416690273,90.43126173660421,6.4121119165514,11.7371826171875,151.053466796875
1698411887.512,27.60599217726226,90.43436259311822,6.224004363835132,11.7371826171875,151.053466796875
1698411887.529,27.668240987155073,90.43699624462431,6.162706905430275,11.7371826171875,151.053466796875
1698411887.546,27.551961190556923,90.4383605727688,6.279053213784463,11.7371826171875,151.053466796875
1698411887.562,27.115931768544776,90.44494514050514,6.716129188271262,11.7371826171875,151.053466796875
1698411887.579,27.03411677211585,90.44814459454507,6.797452924638712,11.7371826171875,151.053466796875
1698411887.595,27.19225046581838,90.45046233482599,6.640173350350768,11.7371826171875,151.053466796875
1698411887.612,27.152736215724076,90.45055533732543,6.680971516179186,11.7371826171875,151.053466796875
1698411887.629,26.89992840664866,90.45048749247448,6.9324539034977395,11.7371826171875,151.053466796875
1698411887.646,26.870866312434387,90.44990750613147,6.961673848387497,11.7371826171875,151.053466796875
1698411887.662,27.0254285106267,90.45014810117073,6.808245186301522,11.7371826171875,151.053466796875
1698411887.679,27.150508758198022,90.45205651487456,6.682070271446033,11.7371826171875,151.053466796875
1698411887.695,27.432725392908186,90.45328787826124,6.399603177609804,11.7371826171875,151.053466796875
1698411887.712,27.390554371715076,90.45229302541769,6.442720990692384,11.7371826171875,151.053466796875
1698411887.729,27.09128211315254,90.45233937738402,6.744249287048014,11.7371826171875,151.053466796875
1698411887.746,26.72618998276289,90.4536771107674,7.110615698303336,11.7371826171875,151.053466796875
1698411887.762,26.780166006161203,90.4605328934642,7.060274116624925,11.7371826171875,151.053466796875
1698411887.779,27.16254142571805,90.46271453550065,6.681197046704281,11.7371826171875,151.053466796875
1698411887.795,27.609199659716456,90.46476416360261,6.23951407204352,11.7371826171875,151.053466796875
1698411887.812,27.649226112514423,90.46900339879308,6.205435464055694,11.7371826171875,151.053466796875
1698411887.829,27.389826078706726,90.467038093525,6.468109694099284,11.7371826171875,151.053466796875
1698411887.846,26.98777653104278,90.46041426099102,6.87523942668532,11.7371826171875,151.053466796875
1698411887.862,25.276248992042675,90.45026049549075,8.591640329980823,11.7371826171875,151.053466796875
1698411887.879,23.247277652480573,90.44731178077343,10.621009382232677,11.7371826171875,151.053466796875
1698411887.896,21.594359583974313,90.44656538206058,12.275564005418646,11.7371826171875,151.053466796875
1698411887.912,20.017919242107943,90.44716376827934,13.85850378261751,11.7371826171875,151.053466796875
1698411887.929,18.702827899160738,90.44821149733724,15.174723556780425,11.7371826171875,151.053466796875
1698411887.946,17.427112513855043,90.45347399566367,16.446430746510746,11.7371826171875,151.053466796875
1698411887.963,16.408660388937587,90.46381319483575,17.462472942724517,11.7371826171875,151.053466796875
1698411887.98,16.129824994170313,90.47102460449801,17.740474101600647,11.7371826171875,151.053466796875
1698411887.997,15.730127907258655,90.47779161685888,18.1370968501661,11.7371826171875,151.053466796875
1698411888.013,14.94622850583884,90.48277260133226,18.912382088147602,11.7371826171875,151.053466796875
1698411888.029,14.137673022500826,90.48682228141097,19.71404376002612,11.7371826171875,151.053466796875
1698411888.046,13.379453604748775,90.49538662358773,20.463937313572647,11.7371826171875,151.053466796875
1698411888.062,12.881106075238785,90.50881697873253,20.955281519370427,11.7371826171875,151.053466796875
1698411888.079,13.009465487880508,90.5201569392879,20.820837514473432,11.7371826171875,151.053466796875
1698411888.096,13.52206427282533,90.53240165192932,20.299122188488198,11.7371826171875,151.053466796875
1698411888.112,14.628323990187862,90.54808206577655,19.177854179623093,11.7371826171875,151.053466796875
1698411888.129,15.71427785422064,90.55557078653867,18.084376452092798,11.7371826171875,151.053466796875
1698411888.146,16.743968466437757,90.55956069414525,17.050901219904915,11.7371826171875,151.053466796875
1698411888.162,17.156843939335523,90.55514538974467,16.637616706604195,11.7371826171875,151.053466796875
1698411888.179,16.710250015308805,90.53458337297488,17.08721578655572,11.7371826171875,151.053466796875
1698411888.196,15.655164393573836,90.50198021203639,18.14826962368077,11.7371826171875,151.053466796875
1698411888.212,12.400311420822861,90.45275780934372,21.410386444101533,11.7371826171875,151.053466796875
1698411888.229,8.384735365365623,90.41926481217591,25.426853555783815,11.7371826171875,151.053466796875
1698411888.246,3.8206185145517897,90.38799190295278,29.98693249664876,11.7371826171875,151.053466796875
1698411888.262,358.99938007477033,90.35277608195453,34.79720578811771,11.7371826171875,151.053466796875
1698411888.279,357.7994187562532,90.33454232203425,35.9849444699457,11.7371826171875,151.053466796875
1698411888.296,359.93560240380856,90.32310711998994,33.83679652520642,11.7371826171875,151.053466796875
1698411888.312,7.014622487597846,90.33319759085235,26.74579564798627,11.7371826171875,151.053466796875
1698411888.329,12.03689844043069,90.35745345715955,21.72007302381776,11.7371826171875,151.053466796875
1698411888.346,16.396636653357568,90.40342657786455,17.363672090996822,11.7371826171875,151.053466796875
1698411888.362,18.732066680433196,90.44275365973513,15.036723848217886,11.7371826171875,151.053466796875
1698411888.379,20.635380079818738,90.48401877933625,13.147250541044254,11.7371826171875,151.053466796875
1698411888.396,22.931823174181744,90.52719603552515,10.87227133351466,11.7371826171875,151.053466796875
1698411888.412,24.453159438978997,90.55514649381351,9.364337202135962,11.7371826171875,151.053466796875
1698411888.429,25.118536166745496,90.57891948921022,8.709533477410249,11.7371826171875,151.053466796875
1698411888.445,25.31370586952979,90.60419316876097,8.527820136888216,11.7371826171875,151.053466796875
1698411888.462,25.173687083422227,90.6221675261122,8.674858788078831,11.7371826171875,151.053466796875
1698411888.479,25.009218351836306,90.63875951020422,8.840885916478644,11.7371826171875,151.053466796875
1698411888.495,24.889313233700914,90.65914424083095,8.959755743336551,11.7371826171875,151.053466796875
1698411888.512,24.759316869296697,90.67388038135478,9.083463774211033,11.7371826171875,151.053466796875
1698411888.529,24.332725373248582,90.68884749636463,9.499965583204256,11.7371826171875,151.053466796875
1698411888.545,23.66266291431627,90.70676524624744,10.152590224087303,11.7371826171875,151.053466796875
1698411888.562,23.14767713725505,90.7122843167291,10.648601970243009,11.7371826171875,151.053466796875
1698411888.579,22.729746031751507,90.7131140771281,11.046798349007396,11.7371826171875,151.053466796875
1698411888.595,22.31073808747875,90.7042263958058,11.43880781136428,11.7371826171875,151.053466796875
1698411888.612,22.08541395894323,90.69120881963266,11.644869699758198,11.7371826171875,151.053466796875
1698411888.629,21.975581193469242,90.67726294951878,11.737952934294942,11.7371826171875,151.053466796875
1698411888.646,21.838678087261886,90.65684380381619,11.856357062571158,11.7371826171875,151.053466796875
1698411888.662,21.674788635878997,90.6397895989126,12.0099176211364,11.7371826171875,151.053466796875
1698411888.679,21.287856734242194,90.61113050618516,12.388474993992237,11.7371826171875,151.053466796875
1698411888.695,21.240062434311202,90.5897359624767,12.434716589270367,11.7371826171875,151.053466796875
1698411888.712,21.358659099241464,90.5643808906055,12.318005820303096,11.7371826171875,151.053466796875
1698411888.729,21.494107429840028,90.52861064722597,12.191220806208122,11.7371826171875,151.053466796875
1698411888.745,21.512281202476963,90.50293121766273,12.183386568604265,11.7371826171875,151.053466796875
1698411888.762,21.553814797222298,90.47871237882299,12.156982302695514,11.7371826171875,151.053466796875
1698411888.779,21.841131892492818,90.45047317620259,11.891954540844743,11.7371826171875,151.053466796875
1698411888.795,22.156074136189243,90.43245081532586,11.594446953614435,11.7371826171875,151.053466796875
1698411888.812,22.784867824783575,90.41437501668732,10.9812892709,11.7371826171875,151.053466796875
1698411888.829,23.772274559673416,90.3887589920284,10.010065998066226,11.7371826171875,151.053466796875
1698411888.846,24.698871048474388,90.37316404101611,9.090340451414315,11.7371826171875,151.053466796875
1698411888.862,26.023685843150833,90.35922696302113,7.7710602959851425,11.7371826171875,151.053466796875
1698411888.879,28.170572873630643,90.33878838116166,5.622885483167829,11.7371826171875,151.053466796875
1698411888.895,30.125941005444368,90.32360293301086,3.6622567213348636,11.7371826171875,151.053466796875
1698411888.912,32.112886816080646,90.30807234382061,1.6675467676816502,11.7371826171875,151.053466796875
1698411888.929,34.36108705542473,90.28606014557433,-0.5964898327915322,11.7371826171875,151.053466796875
1698411888.946,35.81498678170977,90.26479882399602,-2.0654056057038708,11.7371826171875,151.053466796875
1698411888.963,37.34252204970537,90.24586691681796,-3.6104807774246104,11.7371826171875,151.053466796875
1698411888.981,39.873427114114776,90.2143484375867,-6.167838508242975,11.7371826171875,151.053466796875
1698411888.996,42.7793570839275,90.19904693883647,-9.09277083439408,11.7371826171875,151.053466796875
1698411889.013,45.94026974560931,90.1798436176242,-12.275034307963276,11.7371826171875,151.053466796875
1698411889.029,51.43731204175017,90.16397253243868,-17.792511483868697,11.7371826171875,151.053466796875
1698411889.046,55.226413256570304,90.15840252103807,-21.593076252056886,11.7371826171875,151.053466796875
1698411889.062,58.44224369045442,90.15388977705388,-24.81454203487431,11.7371826171875,151.053466796875
1698411889.079,60.21979039141915,90.15683378429225,-26.5942660781071,11.7371826171875,151.053466796875
1698411889.096,61.06805642553607,90.16303494318197,-27.439726704705087,11.7371826171875,151.053466796875
1698411889.112,61.4084732608213,90.1753101073324,-27.774212696198,11.7371826171875,151.053466796875
1698411889.129,61.068625967740836,90.19075422238396,-27.422018598155443,11.7371826171875,151.053466796875
1698411889.146,60.23928185234353,90.20178014073437,-26.5819456536441,11.7371826171875,151.053466796875
1698411889.162,58.94130552987278,90.2144268317402,-25.274134019711248,11.7371826171875,151.053466796875
1698411889.178,56.66960647116856,90.2344519268496,-22.990025269957766,11.7371826171875,151.053466796875
1698411889.196,55.20097666077897,90.24960584006375,-21.51263518111028,11.7371826171875,151.053466796875
1698411889.212,54.077300111682796,90.26482449438615,-20.378608812450103,11.7371826171875,151.053466796875
1698411889.229,52.23483620560003,90.28938366722879,-18.521093053199785,11.7371826171875,151.053466796875
1698411889.246,50.51412110631443,90.30339330955626,-16.791095931987897,11.7371826171875,151.053466796875
1698411889.263,48.609787996638445,90.32041508497957,-14.879488426206704,11.7371826171875,151.053466796875
1698411889.279,46.15980859671775,90.33960496112236,-12.423120970511318,11.7371826171875,151.053466796875
1698411889.295,44.578388699444076,90.35500298347931,-10.83921802293234,11.7371826171875,151.053466796875
1698411889.312,43.04599535859835,90.36701586330807,-9.308139235363218,11.7371826171875,151.053466796875
1698411889.329,41.16565407772666,90.3837973805905,-7.431908687997197,11.7371826171875,151.053466796875
1698411889.346,40.214226024311245,90.39883226744666,-6.483778768371823,11.7371826171875,151.053466796875
1698411889.362,39.362478492688346,90.4096832354227,-5.63868266702648,11.7371826171875,151.053466796875
1698411889.379,38.30525771743016,90.42162258359883,-4.589915738604892,11.7371826171875,151.053466796875
1698411889.396,37.43991391339481,90.42803016840931,-3.731669676605364,11.7371826171875,151.053466796875
1698411889.412,36.57945953960718,90.43158394654354,-2.8787843478620814,11.7371826171875,151.053466796875
1698411889.429,35.64971744283133,90.4373347745104,-1.9549831293291358,11.7371826171875,151.053466796875
1698411889.445,35.14287403162215,90.43995478740774,-1.451871103210411,11.7371826171875,151.053466796875
1698411889.462,34.75226176238078,90.44248415825137,-1.0625480485261207,11.7371826171875,151.053466796875
1698411889.479,34.294532173623416,90.44510494769379,-0.6044700926143284,11.7371826171875,151.053466796875
1698411889.495,33.73123197388712,90.44833224108307,-0.038736808511497134,11.7371826171875,151.053466796875
1698411889.512,33.03742527762193,90.4534327650145,0.659295495240381,11.7371826171875,151.053466796875
1698411889.529,32.45722128873913,90.46203574395935,1.2476084468547908,11.7371826171875,151.053466796875
1698411889.545,32.28084540351584,90.46601863869067,1.4310318968716123,11.7371826171875,151.053466796875
1698411889.562,32.08445670087234,90.46884112543091,1.6337697863870815,11.7371826171875,151.053466796875
